"Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"OS","Tcell-inflamed_Ayers","ICB_Hugo__Melanoma__PD-(L)1",0.12,0.598,26,0.841106478931155,"Melanoma","PD-(L)1",0.984651258342734
"OS","Tcell-regulatory_Peng","ICB_Hugo__Melanoma__PD-(L)1",0.787,1.288,26,0.541115924284829,"Melanoma","PD-(L)1",0.963854638519039
"OS","Tcells_Bindea","ICB_Hugo__Melanoma__PD-(L)1",0.27,0.628,26,0.666817991152591,"Melanoma","PD-(L)1",0.984651258342734
"OS","Tcells_Danaher","ICB_Hugo__Melanoma__PD-(L)1",0.226,0.567,26,0.689963735192626,"Melanoma","PD-(L)1",0.984651258342734
"OS","Tcm_Bindea","ICB_Hugo__Melanoma__PD-(L)1",0.061,1.313,26,0.962997275576717,"Melanoma","PD-(L)1",0.989809393047498
"OS","Teff-IFNG_Fehrenbacher","ICB_Hugo__Melanoma__PD-(L)1",-0.089,0.6,26,0.882248444673107,"Melanoma","PD-(L)1",0.989809393047498
"OS","Teff_McDermott","ICB_Hugo__Melanoma__PD-(L)1",-0.192,0.65,26,0.767810127081471,"Melanoma","PD-(L)1",0.984651258342734
"OS","TFH_Bindea","ICB_Hugo__Melanoma__PD-(L)1",2.052,1.326,26,0.121801191937063,"Melanoma","PD-(L)1",0.963854638519039
"OS","TGFB_Mariathasan","ICB_Hugo__Melanoma__PD-(L)1",0.396,0.495,26,0.423142627273111,"Melanoma","PD-(L)1",0.963854638519039
"OS","TIS_Damotte","ICB_Hugo__Melanoma__PD-(L)1",0.087,0.631,26,0.890075895389492,"Melanoma","PD-(L)1",0.989809393047498
"OS","TLS_Cabrita","ICB_Hugo__Melanoma__PD-(L)1",0.232,0.647,26,0.719893190654716,"Melanoma","PD-(L)1",0.984651258342734
"OS","TMEscoreA_plus","ICB_Hugo__Melanoma__PD-(L)1",0.012,0.754,26,0.986885268678702,"Melanoma","PD-(L)1",0.989809393047498
"OS","TMEscoreB_plus","ICB_Hugo__Melanoma__PD-(L)1",0.036,1.002,26,0.970960729555664,"Melanoma","PD-(L)1",0.989809393047498
"OS","Treg_Rooney","ICB_Hugo__Melanoma__PD-(L)1",0.127,0.705,26,0.857236222665887,"Melanoma","PD-(L)1",0.984651258342734
"OS","TypeI-IFNReponse_Rooney","ICB_Hugo__Melanoma__PD-(L)1",0.414,0.616,26,0.501420751006495,"Melanoma","PD-(L)1",0.963854638519039
"OS","TypeII-IFNReponse_Rooney","ICB_Hugo__Melanoma__PD-(L)1",0.286,0.64,26,0.654679095814371,"Melanoma","PD-(L)1",0.984651258342734
"OS","VIGex_Hernando-Calvo","ICB_Hugo__Melanoma__PD-(L)1",0.418,0.692,26,0.545899972258571,"Melanoma","PD-(L)1",0.963854638519039
"OS","WNT_target","ICB_Hugo__Melanoma__PD-(L)1",0.216,0.669,26,0.747264118753475,"Melanoma","PD-(L)1",0.984651258342734
"OS","ADO_Sidders","ICB_Liu__Melanoma__PD-(L)1",-0.799,0.648,74,0.217559729039777,"Melanoma","PD-(L)1",0.983250007966065
"OS","APM_Thompson","ICB_Liu__Melanoma__PD-(L)1",-0.521,0.408,74,0.201652806358753,"Melanoma","PD-(L)1",0.983250007966065
"OS","APM_Wang","ICB_Liu__Melanoma__PD-(L)1",-0.032,0.409,74,0.938018001052871,"Melanoma","PD-(L)1",0.988437109737638
"OS","Base_excision_repair","ICB_Liu__Melanoma__PD-(L)1",-0.178,0.645,74,0.782142297816387,"Melanoma","PD-(L)1",0.983250007966065
"OS","Bcell_Budczies","ICB_Liu__Melanoma__PD-(L)1",0.042,0.34,74,0.902220121338287,"Melanoma","PD-(L)1",0.988437109737638
"OS","Bcell_Helmink","ICB_Liu__Melanoma__PD-(L)1",-0.175,0.817,74,0.830601404941948,"Melanoma","PD-(L)1",0.983250007966065
"OS","Bcells_Rooney","ICB_Liu__Melanoma__PD-(L)1",-0.327,0.424,74,0.440676704191123,"Melanoma","PD-(L)1",0.983250007966065
"OS","Blood_Friedlander","ICB_Liu__Melanoma__PD-(L)1",-0.848,0.676,74,0.209599939257729,"Melanoma","PD-(L)1",0.983250007966065
"OS","C-ECM_Chakravarthy","ICB_Liu__Melanoma__PD-(L)1",-1.135,0.806,74,0.159022776277904,"Melanoma","PD-(L)1",0.983250007966065
"OS","CAF_Peng","ICB_Liu__Melanoma__PD-(L)1",-0.906,0.498,74,0.0686854817297704,"Melanoma","PD-(L)1",0.882403662518012
"OS","CCL5-CXCL9_Dangaj","ICB_Liu__Melanoma__PD-(L)1",-0.287,0.329,74,0.382054793972641,"Melanoma","PD-(L)1",0.983250007966065
"OS","CD39-CD8Tcell_Chow","ICB_Liu__Melanoma__PD-(L)1",-0.281,0.357,74,0.431424728583197,"Melanoma","PD-(L)1",0.983250007966065
"OS","CD8_Rooney","ICB_Liu__Melanoma__PD-(L)1",0.077,0.318,74,0.808349779863329,"Melanoma","PD-(L)1",0.983250007966065
"OS","CD8_Sade-Feldman ","ICB_Liu__Melanoma__PD-(L)1",-0.538,0.702,74,0.443375898369082,"Melanoma","PD-(L)1",0.983250007966065
"OS","CD8_Tcells_Bindea","ICB_Liu__Melanoma__PD-(L)1",0.188,0.867,74,0.828253775974692,"Melanoma","PD-(L)1",0.983250007966065
